rank,region,trips_000,nights_000,regional_expenditure_m,state
1,Sydney,3529.3999379943584,83589.26388980092,10903.602858146529,NSW
2,Melbourne,2551.9910039140855,70544.97313130286,8401.085694677979,VIC
3,Destination Perth,812.8570021263013,25748.18275503179,2268.353373145542,WA
4,Brisbane,1275.0271665131588,28073.489691373383,3104.7621362006894,QLD
5,Adelaide,401.7962445843213,10974.130566461676,1134.1462426126182,SA
6,Gold Coast,634.6837149755378,8021.289526099577,1172.3265464118645,QLD
7,Tropical North Queensland,543.2944020847093,5156.625742986541,980.1196624976237,QLD
8,Canberra,214.66331194644553,5431.068756665371,626.5275335025772,ACT
9,North Coast NSW,292.32625496971394,3888.24937793272,265.93624756371236,Other
10,Sunshine Coast,314.3528622617241,3942.2679196031386,317.769714763776,QLD
11,Hunter,158.30672228056682,2945.9685050335434,216.62150744010145,NSW
12,Darwin,125.75936459577758,3461.4565817468124,235.0986197699028,NT
13,Queensland Country,50.657601421718894,2183.988342628367,107.53680980558867,Other
14,Australia's South West,138.54110642921736,2170.7937132361067,158.70593200402828,Other
15,Hobart and the South,211.18638210623573,2466.3372225548037,356.8492422941668,Other
16,South Coast,147.83455643844687,3106.0344096909253,273.51678001024266,NSW
17,Geelong and the Bellarine,73.51798131928858,1292.2817846031478,110.71274841375556,VIC
18,Central NSW,40.86283412149919,1462.361754942546,80.41879701123347,Other
19,Mallee,25.55444867003944,1647.987335374641,79.76723752889276,Other
20,Townsville,107.94382708478778,1139.7519889813966,81.21354766605228,Other
