rank,region,state_code,state_full,visitors,nights,expenditure_m,spend_per_visitor,nights_per_visitor,lon,lat,visitor_million,expenditure_billion,visitor_rank,spend_rank,hidden_value_score,quadrant,label
1,Sydney,NSW,New South Wales,3529399.9379943586,83589263.88980092,10903.602858146529,3089.364495297942,23.68370413053896,151.2093,-33.8688,3.529399937994359,10.90360285814653,1,3,-2,Mass gateway,Sydney
2,Melbourne,VIC,Victoria,2551991.003914085,70544973.13130286,8401.085694677979,3291.9730836797294,27.643111994950363,144.9631,-37.8136,2.551991003914085,8.40108569467798,2,1,1,Mass gateway,Melbourne
3,Destination Perth,WA,Western Australia,812857.0021263013,25748182.75503179,2268.353373145542,2790.593385074988,31.67615298592341,115.8613,-31.9523,0.8128570021263013,2.268353373145542,4,6,-2,Mass gateway,Destination Perth
4,Brisbane,QLD,Queensland,1275027.1665131587,28073489.69137338,3104.7621362006894,2435.0556739048484,22.0179541492802,153.0251,-27.4698,1.2750271665131587,3.1047621362006894,3,7,-4,Mass gateway,Brisbane
5,Adelaide,SA,South Australia,401796.2445843213,10974130.566461677,1134.1462426126182,2822.690002456221,27.312675801176223,138.6007,-34.9285,0.4017962445843213,1.134146242612618,7,5,2,Mass gateway,
6,Gold Coast,QLD,Queensland,634683.7149755377,8021289.526099578,1172.3265464118645,1847.1035552835144,12.638246951725767,153.4,-28.0167,0.6346837149755378,1.1723265464118644,5,12,-7,Popular lower-value,Gold Coast
7,Tropical North Queensland,QLD,Queensland,543294.4020847093,5156625.742986541,980.1196624976236,1804.0304828040644,9.491402310054596,145.7781,-16.9186,0.5432944020847092,0.9801196624976236,6,13,-7,Popular lower-value,
8,Canberra,ACT,Australian Capital Territory,214663.31194644555,5431068.756665371,626.5275335025772,2918.6521339933674,25.3004051200902,149.13,-35.2809,0.2146633119464455,0.6265275335025772,10,4,6,Mass gateway,Canberra
9,North Coast NSW,NSW,New South Wales,292326.2549697139,3888249.37793272,265.9362475637124,909.7241285811444,13.301061098106144,153.1135,-30.2963,0.2923262549697139,0.2659362475637124,9,19,-10,Popular lower-value,
10,Sunshine Coast,QLD,Queensland,314352.86226172413,3942267.919603138,317.769714763776,1010.8694811221636,12.540900347587364,153.0667,-26.65,0.3143528622617241,0.3177697147637759,8,18,-10,Popular lower-value,
11,Hunter,NSW,New South Wales,158306.7222805668,2945968.505033544,216.62150744010145,1368.3658174425682,18.60924452603097,151.7817,-32.9283,0.1583067222805668,0.2166215074401014,12,16,-4,Lower priority,
12,Darwin,NT,Northern Territory,125759.3645957776,3461456.5817468124,235.0986197699028,1869.4323124609384,27.52444394795417,130.8456,-12.4634,0.1257593645957775,0.2350986197699028,15,10,5,Hidden high-value,
13,Queensland Country,QLD,Queensland,50657.60142171889,2183988.342628367,107.53680980558867,2122.816848558555,43.11274678101924,151.9539,-27.5606,0.0506576014217188,0.1075368098055886,18,8,10,Hidden high-value,
14,Australia's South West,WA,Western Australia,138541.10642921735,2170793.7132361066,158.70593200402828,1145.5512092731367,15.668950315083531,115.35,-33.65,0.1385411064292173,0.1587059320040282,14,17,-3,Lower priority,Australia's South West
15,Hobart and the South,TAS,Tasmania,211186.3821062357,2466337.2225548043,356.8492422941668,1689.7360461180515,11.678486074514652,147.3272,-42.8821,0.2111863821062357,0.3568492422941668,11,14,-3,Lower priority,Hobart and the South
16,South Coast,NSW,New South Wales,147834.55643844686,3106034.4096909254,273.51678001024266,1850.1545687264636,21.010205492679717,150.6,-35.1,0.1478345564384468,0.2735167800102426,13,11,2,Lower priority,South Coast
17,Geelong and the Bellarine,VIC,Victoria,73517.98131928858,1292281.7846031478,110.71274841375556,1505.9274809645565,17.577764805466682,144.3617,-38.1499,0.0735179813192885,0.1107127484137555,17,15,2,Lower priority,
18,Central NSW,NSW,New South Wales,40862.83412149919,1462361.754942546,80.41879701123347,1968.0180961536064,35.78708590291227,149.1,-33.2833,0.0408628341214991,0.0804187970112334,19,9,10,Hidden high-value,
19,Mallee,VIC,Victoria,25554.44867003944,1647987.335374641,79.76723752889276,3121.461885515593,64.4892541668009,142.1245,-34.208,0.0255544486700394,0.0797672375288927,20,2,18,Hidden high-value,Mallee
20,Townsville,QLD,Other,107943.8270847878,1139751.988981397,81.21354766605228,752.3686148561383,10.558750970411152,146.8169,-19.259,0.1079438270847877,0.0812135476660522,16,20,-4,Lower priority,
