rank,region,state_code,visitors,expenditure_m,spend_per_visitor,nights_per_visitor
1,Sydney,NSW,3529399.9379943586,10903.602858146529,3089.364495297942,23.68370413053896
2,Melbourne,VIC,2551991.003914085,8401.085694677979,3291.9730836797294,27.643111994950363
4,Brisbane,QLD,1275027.1665131587,3104.7621362006894,2435.0556739048484,22.0179541492802
3,Destination Perth,WA,812857.0021263013,2268.353373145542,2790.593385074988,31.67615298592341
6,Gold Coast,QLD,634683.7149755377,1172.3265464118645,1847.1035552835144,12.638246951725767
7,Tropical North Queensland,QLD,543294.4020847093,980.1196624976236,1804.0304828040644,9.491402310054596
5,Adelaide,SA,401796.2445843213,1134.1462426126182,2822.690002456221,27.312675801176223
10,Sunshine Coast,QLD,314352.86226172413,317.769714763776,1010.8694811221636,12.540900347587364
9,North Coast NSW,NSW,292326.2549697139,265.9362475637124,909.7241285811444,13.301061098106144
8,Canberra,ACT,214663.31194644555,626.5275335025772,2918.6521339933674,25.3004051200902
